Ride,Speed (km/s)
VM2_-1448521088,0.004202694906273598
VM2_-1448926117,0.005598203721389177
VM2_-145184154,0.004015513901788737
VM2_-1457934438,0.0027190952115616774
VM2_-1467672275,0.0021630838468776597
VM2_-1471359477,0.005750628733488149
VM2_-1471620399,0.0034860665360211206
VM2_-1479008655,0.005129760406026144
VM2_-1485234293,0.004859031471725797
VM2_-148926091,0.0022659942882891156
VM2_-1489749430,0.005859358308898569
VM2_-1491256519,0.0018987427781331136
VM2_-1492112532,0.005687530768363116
VM2_-1500443291,0.003649629210527328
VM2_-1502915604,0.0035034580269587725
VM2_-150403199,0.003276242644024553
VM2_-1515542699,0.004804398640944838
VM2_-1517855386,0.005436486778167721
VM2_-1520942649,0.004091082245651761
VM2_-152759847,0.003041448944329371
VM2_-1528184239,0.0059731079013278475
VM2_-1529650568,0.0055926293387326236
VM2_-1532060309,0.003161032069025733
VM2_-1532396721,0.003933651018661874
VM2_-1533345964,0.004295793560490513
VM2_-1534033484,0.0039975014667614495
VM2_-1549587310,0.004091571534133388
VM2_-1564694880,0.0029367181323710512
VM2_-1570999117,0.0018630226061031368
VM2_-1572089342,0.004540054971253969
VM2_-1578049762,0.005152534329589024
VM2_-1582871677,0.004245310286856308
VM2_-1590322409,0.002486415471150373
VM2_-1592328427,0.004421542282782484
VM2_-1597437374,0.004932063668965933
VM2_-1603219254,0.003820420643252804
VM2_-1608558054,0.0038831216056543468
VM2_-1622313604,0.0063692091375201175
VM2_-1624755760,0.006094799605900718
VM2_-1636027249,0.005691410018868067
VM2_-1636931389,0.006283762879213295
VM2_-165116121,0.0018905526667010813
VM2_-1651710652,0.005227884841439151
VM2_-1655810898,0.004942803133541182
VM2_-1657484030,0.005712847098262059
VM2_-1664151799,0.004044181994662034
VM2_-1667242457,0.0028302515830243573
VM2_-1669698492,0.00412745623259312
VM2_-1681968615,0.004437764002630751
VM2_-1685235228,0.002211084790539544
VM2_-1690372383,0.004846579661608374
VM2_-1695649649,0.0033898620783948327
VM2_-1701244536,0.004096781380159754
VM2_-1703040822,0.005957136500568997
VM2_-1703824149,0.003241520013059844
VM2_-1705095708,0.005857607966127485
VM2_-170944781,0.00602895978837883
VM2_-1718103905,0.0055402977877785815
VM2_-1720635335,0.004146484559030175
VM2_-1720747170,0.003229695158456572
VM2_-1725136827,0.0057652896330252675
VM2_-1728794223,0.003414815750969948
VM2_-1731941725,0.0020696015270734607
VM2_-1736599440,0.0031520655211786535
VM2_-1737743623,0.0048861952398961735
VM2_-1738422809,0.004310395362772658
VM2_-1739754197,0.00278035686805803
VM2_-1745531854,0.003747041456852421
VM2_-1750134375,0.004353516240972809
VM2_-1755219373,0.00482839894083099
VM2_-1755843822,0.004834761005306288
VM2_-176040647,0.004469769710831079
VM2_-1761548236,0.0050049305343227695
VM2_-176242331,0.0040306682809472605
VM2_-1763018767,0.006119736683549753
VM2_-1764123304,0.003737085034199892
VM2_-1764137309,0.005547656283491771
VM2_-1764282728,0.0033394909515543827
VM2_-1768586123,0.00337448343314161
VM2_-1768806120,0.0037320454815548652
VM2_-1777218121,0.0047400419413043465
VM2_-1777370270,0.0035642138228848103
VM2_-1778430121,0.0044236310240325415
VM2_-1781746346,0.005180025120767344
VM2_-1790100878,0.006054473286549696
VM2_-1790411661,0.005338813870497729
VM2_-1792098913,0.003935593818464641
