Ride,Starting Timestamp,Percentage Overlap,Percentage Overlap - One Grid Over,User Ride Duration,Recommended Ride Duration,User Ride Distance,Recommended Ride Distance
VM2_63520354,1617174261000.0,0.17899761336515513,0.15513126491646778,1271.0,1686.5,7.260261691195224,7.8137
VM2_635515396,1615543748000.0,0.03905540417801998,0.07629427792915532,3324.0,955.2,11.989813981074755,4.5495
VM2_636218354,1610118784294.0,0.6754385964912281,0.30116959064327486,1265.0,1257.5,6.389139096351303,6.2691
VM2_645712145,1614361099000.0,0.19771863117870722,0.752851711026616,792.0,137.8,1.684511004083927,0.4605
VM2_647541315,1609998154333.0,0.05921052631578947,0.07894736842105263,1433.0,1881.1,7.702249591649372,8.6985
VM2_653744781,1616169383000.0,0.1486146095717884,0.0654911838790932,1199.0,970.9,4.683120452754627,4.7746
VM2_662734615,1616786645000.0,0.016478190630048465,0.035864297253634894,9369.0,1989.2,33.264775394600775,9.5838
VM2_66300115,1613330423666.0,0.8880597014925373,0.11194029850746269,409.0,396.4,1.9844026263964163,1.9363
VM2_673491394,1611167973708.0,0.18807339449541285,0.3211009174311927,668.0,751.8,2.500581642181379,3.393
VM2_683441983,1613832364000.0,0.18566775244299674,0.20846905537459284,1850.0,1555.1,6.9455579295466405,7.6103
VM2_686159586,1611246196545.0,0.3625,0.625,487.0,502.1,2.145231100581155,2.1529
VM2_693941615,1615201688000.0,0.009384775808133473,0.021897810218978103,2897.0,4020.0,13.992574803851438,19.6328
VM2_695453356,1611233081519.0,0.04363636363636364,0.04909090909090909,1690.0,1799.9,8.979709788431737,8.6612
VM2_697699065,1611763667850.0,0.12380952380952381,0.37142857142857144,967.0,1060.6,4.761586550439002,5.0719
VM2_701065960,1617034933333.0,0.062021439509954056,0.1003062787136294,5307.0,48.7,9.732165228964703,0.1903
VM2_701294814,1610020459146.0,0.14351851851851852,0.1574074074074074,661.0,936.9,3.4369235210834312,4.3723
VM2_70536581,1612526897489.0,0.9491525423728814,0.0,2140.0,40.4,1.4482998415600514,0.1045
VM2_708825994,1617040468293.0,1.0,0.0,5.0,49.0,0.0155103143003491,0.1236
VM2_709328426,1610971937006.0,0.008917197452229299,0.0267515923566879,2400.0,3278.3,14.13871007415453,15.3068
VM2_710048251,1615377054000.0,0.5815899581589958,0.36401673640167365,719.0,685.1,2.541433100147503,2.9699
VM2_713583303,1611146092162.0,0.034106412005457026,0.18963165075034105,2238.0,2571.5,11.921371091240864,12.3897
VM2_718509911,1615909763517.0,1.0,4.0,758.0,40.6,3.988113138775528,0.2028
VM2_725997835,1613457165916.0,0.06438356164383562,0.17123287671232876,2223.0,2345.1,10.62005934504745,11.2118
VM2_730398869,1614749577174.0,0.04175365344467641,0.1022964509394572,1526.0,1797.6,7.77784956544297,8.7598
VM2_734873096,1614632252000.0,0.8651685393258427,0.1348314606741573,267.0,164.0,0.9033428082547716,0.7821
VM2_735968719,1611814532186.0,0.33760683760683763,0.24786324786324787,1828.0,1638.9,8.27514362652699,7.902
VM2_756053808,1614117045000.0,0.10975609756097561,0.04065040650406504,2225.0,3249.3,13.681652040662,15.124
VM2_757274171,1614695380000.0,0.7038461538461539,0.27692307692307694,782.0,744.6,3.0026632119408534,2.9797
VM2_758580901,1616570895000.0,0.5825688073394495,0.24770642201834864,655.0,656.8,3.010384184141432,2.9911
VM2_768881231,1613756336523.0,0.06933333333333333,0.10933333333333334,1166.0,1804.9,7.599628032346723,8.5019
